userId,movieId,tag,date_str
2,60756,funny,2015-10-25 03:29:54
2,60756,highly quotable,2015-10-25 03:29:56
2,60756,will ferrell,2015-10-25 03:29:52
2,89774,boxing story,2015-10-25 03:33:27
2,89774,mma,2015-10-25 03:33:20
2,89774,tom hardy,2015-10-25 03:33:25
2,106782,drugs,2015-10-25 03:30:54
2,106782,leonardo dicaprio,2015-10-25 03:30:51
2,106782,martin scorsese,2015-10-25 03:30:56
7,48516,way too long,2007-01-25 09:08:45
18,431,al pacino,2016-05-02 05:39:25
18,431,gangster,2016-05-02 05:39:09
18,431,mafia,2016-05-02 05:39:15
18,1221,al pacino,2016-04-27 03:35:06
18,1221,mafia,2016-04-27 03:35:03
18,5995,holocaust,2016-02-18 02:57:52
18,5995,true story,2016-02-18 02:57:59
18,44665,twist ending,2016-03-03 03:51:23
18,52604,anthony hopkins,2016-03-11 06:58:16
18,52604,courtroom drama,2016-03-11 06:58:31
18,52604,twist ending,2016-03-11 06:58:02
18,88094,britpop,2016-03-08 21:41:40
18,88094,indie record label,2016-03-08 21:43:12
18,88094,music,2016-03-08 21:43:29
18,144210,dumpster diving,2016-02-10 07:26:21
18,144210,sustainability,2016-02-10 07:27:32
21,1569,romantic comedy,2014-12-29 06:23:33
21,1569,wedding,2014-12-29 06:23:39
21,118985,painter,2014-12-29 06:24:37
21,119141,bloody,2014-12-29 03:12:42
49,109487,black hole,2017-04-25 12:08:26
49,109487,sci-fi,2017-04-25 12:08:52
49,109487,time-travel,2017-04-25 12:09:16
62,2,fantasy,2018-06-13 06:52:09
62,2,magic board game,2018-06-13 06:52:12
62,2,robin williams,2018-06-13 06:51:47
62,110,beautiful scenery,2018-06-05 06:49:01
62,110,epic,2018-06-05 06:48:52
62,110,historical,2018-06-05 06:48:43
62,110,inspirational,2018-06-05 06:48:47
62,110,medieval,2018-06-05 06:48:48
62,110,mel gibson,2018-06-05 06:48:41
62,110,oscar (best cinematography),2018-06-05 06:48:59
62,110,revenge,2018-06-05 06:48:51
62,110,sword fight,2018-06-05 06:48:55
62,410,black comedy,2018-05-07 03:56:47
62,410,christina ricci,2018-05-07 03:58:05
62,410,christopher lloyd,2018-05-07 03:57:02
62,410,dark comedy,2018-05-07 03:56:50
62,410,family,2018-05-07 03:58:28
62,410,gothic,2018-05-07 03:56:49
62,2023,al pacino,2018-05-07 03:58:48
62,2023,andy garcia,2018-05-07 03:59:28
62,2023,classic,2018-05-07 03:59:12
62,2023,francis ford coppola,2018-05-07 03:59:12
62,2023,mafia,2018-05-07 03:58:53
62,2124,black comedy,2018-05-07 04:00:47
62,2124,christina ricci,2018-05-07 04:01:07
62,2124,christopher lloyd,2018-05-07 04:00:59
62,2124,family,2018-05-07 04:00:55
62,2124,gothic,2018-05-07 04:00:49
62,2124,quirky,2018-05-07 04:00:46
62,2953,family,2018-05-07 04:01:23
62,2953,funny,2018-05-07 04:01:25
62,2953,macaulay culkin,2018-05-07 04:01:30
62,2953,sequel,2018-05-07 04:01:27
62,3114,animation,2018-05-07 04:01:43
62,3114,disney,2018-05-07 04:01:42
62,3114,funny,2018-05-07 04:01:53
62,3114,original,2018-05-07 04:01:57
62,3114,pixar,2018-05-07 04:01:41
62,3114,sequel,2018-05-07 04:01:50
62,3114,tom hanks,2018-05-07 04:02:05
62,3578,ancient rome,2018-06-05 06:48:24
62,3578,epic,2018-06-05 06:47:49
62,3578,history,2018-06-05 06:47:47
62,3578,imdb top 250,2018-06-05 06:48:18
62,3578,revenge,2018-06-05 06:48:16
62,3578,rome,2018-06-05 06:47:43
62,3578,russell crowe,2018-06-05 06:47:45
62,4223,ed harris,2018-06-03 19:21:09
62,4223,jude law,2018-06-03 19:20:54
62,4223,rachel weisz,2018-06-03 19:21:13
62,4223,sniper,2018-06-03 19:20:52
62,4223,world war ii,2018-06-03 19:21:17
62,5388,al pacino,2018-06-30 06:20:09
62,5388,atmospheric,2018-06-30 06:22:39
62,5388,hilary swank,2018-06-30 06:22:32
62,5388,robin williams,2018-06-30 06:20:11
62,6058,sequel,2018-05-06 05:17:33
62,6058,violent,2018-05-06 05:17:31
62,6534,dogs,2018-05-06 05:01:36
62,6534,eric bana,2018-05-06 05:01:26
62,6534,mad scientist,2018-05-06 05:01:38
62,6534,marvel,2018-05-06 05:01:40
62,6541,captain nemo,2018-05-06 05:00:54
62,6541,comic book,2018-05-06 05:00:28
62,6541,gothic,2018-05-06 05:00:56
62,6541,peta wilson,2018-05-06 05:00:40
62,6541,sean connery,2018-05-06 05:00:26
62,6541,superhero,2018-05-06 05:00:51
62,6564,adventure,2018-05-06 05:07:19
62,6564,angelina jolie,2018-05-06 05:07:12
62,6564,heroine in tight suit,2018-05-06 05:07:21
62,7153,adventure,2018-06-05 06:49:18
62,7153,ensemble cast,2018-06-05 06:49:38
62,7153,fantasy,2018-06-05 06:49:16
62,7153,fantasy world,2018-06-05 06:49:31
62,7153,great soundtrack,2018-06-05 06:49:35
62,7153,lord of the rings,2018-06-05 06:49:41
62,7153,scenic,2018-06-05 06:49:40
62,7153,stylized,2018-06-05 06:49:37
62,7153,tolkien,2018-06-05 06:49:21
62,8641,hilarious,2018-05-14 06:05:38
62,8641,steve carell,2018-05-14 06:05:56
62,8641,will ferrell,2018-05-14 06:05:35
62,27660,animation,2018-05-06 05:08:10
62,27660,anime,2018-05-06 05:08:08
62,27660,cyberpunk,2018-05-06 05:08:06
62,27660,dark,2018-05-06 05:08:20
62,27660,matrix,2018-05-06 05:08:13
62,27660,sci-fi,2018-05-06 05:08:11
62,27706,dark comedy,2018-05-14 05:56:38
62,27706,jim carrey,2018-05-14 05:56:15
62,27706,meryl streep,2018-05-14 05:56:20
62,27706,quirky,2018-05-14 05:55:53
62,27706,stylized,2018-05-14 05:56:41
62,27808,adam sandler,2018-05-06 05:15:00
62,27808,family,2018-05-06 05:15:19
62,27808,sweet,2018-05-06 05:15:22
62,27831,british gangster,2018-07-28 04:28:24
62,27831,confusing,2018-07-28 04:29:24
62,27831,daniel craig,2018-07-28 04:28:25
62,27831,exquisite plotting.,2018-07-28 04:29:15
62,27831,organized crime,2018-07-28 04:29:29
62,27831,stylish,2018-07-28 04:29:16
62,27831,tom hardy,2018-07-28 04:29:19
62,31658,anime,2018-05-09 20:30:41
62,31658,fantasy world,2018-05-09 20:30:51
62,31658,hayao miyazaki,2018-05-09 20:30:46
62,31658,studio ghibli,2018-05-09 20:30:44
62,33162,david thewlis,2018-05-06 05:10:05
62,33162,eva green,2018-05-06 05:09:10
62,33162,liam neeson,2018-05-06 05:09:37
62,33162,orlando bloom,2018-05-06 05:08:31
62,34150,chris evans,2018-05-06 05:02:21
62,34150,comic book,2018-05-06 05:00:03
62,34150,heroine in tight suit,2018-05-06 05:02:18
62,34150,jessica alba,2018-05-06 05:02:07
62,34150,sexy female scientist,2018-05-06 05:02:24
62,34150,superhero,2018-05-06 04:59:37
62,37729,gothic,2018-06-30 06:15:27
62,37729,helena bonham carter,2018-06-30 06:15:34
62,37729,johnny depp,2018-06-30 06:15:29
62,37729,tim burton,2018-06-30 06:15:26
62,37729,visually appealing,2018-06-30 06:15:41
62,38061,black comedy,2018-07-28 04:29:40
62,38061,clever,2018-07-28 04:30:03
62,38061,fast-paced dialogue,2018-07-28 04:30:06
62,38061,good dialogue,2018-07-28 04:30:28
62,38061,robert downey jr.,2018-07-28 04:30:08
62,38061,witty,2018-07-28 04:30:02
62,45447,adventure,2018-05-07 04:04:24
62,45447,audrey tautou,2018-05-07 04:04:35
62,45447,conspiracy theory,2018-05-07 04:04:22
62,45447,mystery,2018-05-07 04:04:41
62,45447,paris,2018-05-07 04:04:39
62,45447,tom hanks,2018-05-07 04:04:27
62,45447,treasure hunt,2018-05-07 04:04:44
62,46723,brad pitt,2018-05-06 05:03:37
62,46723,cate blanchett,2018-05-06 05:03:47
62,46723,multiple storylines,2018-05-06 05:03:35
62,46723,social commentary,2018-05-06 05:04:06
62,46972,ben stiller,2018-05-06 05:04:14
62,46972,robin williams,2018-05-06 05:04:15
62,46976,emma thompson,2018-09-14 05:38:12
62,46976,maggie gyllenhaal,2018-09-14 05:37:35
62,46976,modern fantasy,2018-09-14 05:37:38
62,46976,romance,2018-09-14 05:37:31
62,46976,surreal,2018-09-14 05:37:42
62,46976,will ferrell,2018-09-14 05:37:33
62,49130,marion cotillard,2018-05-18 02:39:31
62,49530,africa,2018-09-14 05:38:26
62,49530,corruption,2018-09-14 05:38:24
62,49530,jennifer connelly,2018-09-14 05:38:21
62,49530,justice,2018-09-14 05:38:29
62,49530,leonardo dicaprio,2018-09-14 05:38:18
62,53464,bad acting,2018-05-06 05:13:17
62,53464,bad jokes,2018-05-06 05:13:31
62,53464,bad plot,2018-05-06 05:13:42
62,53464,chris evans,2018-05-06 05:13:27
62,53464,jessica alba,2018-05-06 05:13:14
62,53464,marvel,2018-05-06 05:13:12
62,53464,sexy female scientist,2018-05-06 05:13:33
62,58047,rachel weisz,2018-06-14 01:02:44
62,58047,ryan reynolds,2018-06-14 01:02:27
62,59501,fantasy,2018-05-07 04:11:47
62,59501,lion,2018-05-07 04:11:57
62,59501,narnia,2018-05-07 04:11:48
62,59501,tilda swinton,2018-05-07 04:13:23
62,60074,bad script,2018-05-06 05:01:56
62,60074,charlize theron,2018-05-06 05:02:01
62,60074,will smith,2018-05-06 05:01:47
62,60126,anne hathaway,2018-05-22 23:50:40
62,60126,steve carell,2018-05-22 23:50:38
62,60756,comedy,2018-06-14 07:59:44
62,60756,funny,2018-06-14 07:59:41
62,60756,will ferrell,2018-06-14 07:59:39
62,61024,comedy,2018-06-14 07:56:58
62,61024,james franco,2018-06-14 07:56:54
62,61024,seth rogen,2018-06-14 07:56:56
62,61024,stoner movie,2018-06-14 07:56:59
62,63992,audience intelligence underestimated,2018-06-14 07:57:17
62,63992,boring,2018-06-14 07:57:21
62,63992,chick flick,2018-06-14 07:57:27
62,63992,overrated,2018-06-14 07:57:20
62,63992,teen movie,2018-06-14 07:57:13
62,68848,adrien brody,2018-05-26 02:51:45
62,68848,con artists,2018-05-26 02:52:00
62,68848,funny,2018-05-26 02:52:02
62,68848,interesting characters,2018-05-26 02:52:04
62,68848,mark ruffalo,2018-05-26 02:51:56
62,68848,rachel weisz,2018-05-26 02:51:51
62,71535,bill murray,2018-06-24 02:06:38
62,71535,dark comedy,2018-06-24 02:06:29
62,71535,emma stone,2018-06-24 02:06:32
62,71535,funny,2018-06-24 02:06:34
62,71535,jesse eisenberg,2018-06-24 02:06:26
62,71535,woody harrelson,2018-06-24 02:05:29
62,87430,audience intelligence underestimated,2018-05-06 05:19:32
62,87430,cgi,2018-05-06 05:19:28
62,87430,cheesy,2018-05-06 05:19:30
62,87430,comic book,2018-05-06 05:19:24
62,87430,dc,2018-05-06 05:19:36
62,87430,dc comics,2018-05-06 05:19:44
62,87430,ryan reynolds,2018-05-06 05:19:22
62,87430,space,2018-05-06 05:19:42
62,87430,superhero,2018-05-06 05:19:41
62,88405,comedy,2018-05-06 05:14:39
62,88405,funny,2018-05-06 05:14:28
62,88405,happy ending,2018-05-06 05:14:32
62,88405,hot actress,2018-05-06 05:14:40
62,88405,justin timberlake,2018-05-06 05:14:33
62,88405,mila kunis,2018-05-06 05:14:21
62,88405,new york city,2018-05-06 05:14:26
62,88405,romance,2018-05-06 05:14:43
62,88405,sex,2018-05-06 05:14:24
62,96861,istanbul,2018-06-22 04:01:02
62,96861,liam neeson,2018-06-22 04:00:50
62,96861,predictable,2018-06-22 04:01:06
62,96861,turkey,2018-06-22 04:00:56
62,96861,unnecessary sequel,2018-06-22 04:01:09
62,99114,action,2018-05-12 06:46:32
62,99114,christoph waltz,2018-05-12 06:46:06
62,99114,funny,2018-05-12 06:46:18
62,99114,good soundtrack,2018-05-12 06:46:25
62,99114,great performances,2018-05-12 06:46:08
62,99114,humour,2018-05-12 06:46:27
62,99114,leonardo dicaprio,2018-05-12 06:46:02
62,99114,quentin tarantino,2018-05-12 06:46:00
62,99114,samuel l. jackson,2018-05-12 06:46:03
62,99114,soundtrack,2018-05-12 06:46:21
62,99114,western,2018-05-12 06:46:13
62,103042,amy adams,2018-05-06 05:22:08
62,103042,superhero,2018-05-06 05:21:59
62,104863,daniel radcliffe,2018-06-13 06:52:48
62,104863,zoe kazan,2018-06-13 06:52:45
62,107348,comedy,2018-06-14 08:10:11
62,107348,steve carell,2018-06-14 08:10:00
62,107348,stupid but funny,2018-06-14 08:10:13
62,107348,will ferrell,2018-06-14 08:10:02
62,108190,anti-intellectual,2018-05-06 05:14:01
62,108190,bad writing,2018-05-06 05:13:55
62,108190,dystopia,2018-05-06 05:13:50
62,108190,new society,2018-05-06 05:13:52
62,108190,plot holes,2018-05-06 05:14:05
62,108190,predictable,2018-05-06 05:14:07
62,108190,scifi,2018-05-06 05:13:59
62,108190,unintelligent,2018-05-06 05:14:03
62,111743,charlize theron,2018-07-02 02:57:00
62,111743,liam neeson,2018-07-02 02:57:14
62,111743,seth macfarlane,2018-07-02 02:56:59
62,111743,witty,2018-07-02 02:56:57
62,114180,action,2018-05-06 05:07:40
62,114180,dystopia,2018-05-06 05:07:30
62,114180,plot holes,2018-05-06 05:07:34
62,114180,post-apocalyptic,2018-05-06 05:07:38
62,114180,survival,2018-05-06 05:07:36
62,114180,thriller,2018-05-06 05:07:51
62,114180,unexplained,2018-05-06 05:07:53
62,114180,weak plot,2018-05-06 05:07:43
62,115149,dark hero,2018-06-05 06:44:11
62,115149,gun-fu,2018-06-05 06:44:17
62,115149,keanu reeves,2018-06-05 06:44:04
62,115149,revenge,2018-06-05 06:44:01
62,115149,secret society,2018-06-05 06:44:18
62,115149,stylish,2018-06-05 06:44:07
62,116897,black comedy,2018-06-05 06:54:09
62,116897,dark comedy,2018-06-05 06:54:19
62,116897,dark humor,2018-06-05 06:54:07
62,116897,ironic,2018-06-05 06:54:14
62,116897,multiple short stories,2018-06-05 06:54:22
62,116897,short stories,2018-06-05 06:54:12
62,119141,bromance,2018-05-06 05:19:06
62,119141,comedy,2018-05-06 05:18:58
62,119141,funny,2018-05-06 05:18:49
62,119141,james franco,2018-05-06 05:18:52
62,119141,seth rogen,2018-05-06 05:18:47
62,122912,comic book,2018-05-11 16:57:03
62,122912,dr. strange,2018-05-11 16:56:41
62,122912,great villain,2018-05-11 16:57:05
62,122912,guardians of the galaxy,2018-05-11 16:56:55
62,122912,marvel,2018-05-11 16:56:37
62,122912,mcu,2018-05-11 16:56:23
62,122912,robert downey jr.,2018-05-11 16:56:31
62,122912,thanos,2018-05-11 16:56:25
62,122912,thor,2018-05-11 16:56:50
62,122912,visually stunning,2018-05-11 16:56:34
62,128360,characters,2018-05-12 06:48:30
62,128360,dialogue,2018-05-12 06:48:22
62,128360,humor,2018-05-12 06:48:21
62,128360,kurt russell,2018-05-12 06:48:06
62,128360,quentin tarantino,2018-05-12 06:47:57
62,128360,samuel l. jackson,2018-05-12 06:48:03
